player,pos,team_id
Hakeem Olajuwon,C,HOU
José Ortiz,PF,UTA
Robert Parish,C,BOS
Jim Paxson,PG,BOS
John Paxson,PG,CHI
Will Perdue,C,CHI
Sam Perkins,PF,DAL
Tim Perry,C,PHO
Chuck Person,SF,IND
Jim Petersen,C,SAC
Ricky Pierce,SG,MIL
Ed Pinckney,PF,TOT
Scottie Pippen,SF,CHI
Olden Polynice,C,SEA
Dave Popson,PF,TOT
Terry Porter,PG,POR
Paul Pressey,SG,MIL
Dominic Pressley,PG,TOT
Harold Pressley,PF,SAC
Mark Price,PG,CLE
Kurt Rambis,PF,CHH
Blair Rasmussen,C,DEN
Robert Reid,SF,CHH
Jerry Reynolds,SG,SEA
Mitch Richmond,SG,GSW
Ramón Rivas,C,BOS
David Rivers,PG,LAL
Doc Rivers,PG,ATL
Fred Roberts,PF,MIL
Alvin Robertson,SG,SAS
Cliff Robinson,SF,PHI
Dennis Rodman,SF,DET
Tree Rollins,C,CLE
Rob Rose,SG,LAC
Scott Roth,SF,TOT
Jim Rowinski,PF-C,TOT
Brian Rowsom,PF,CHH
John Salley,PF,DET
Ralph Sampson,C,GSW
Mike Sanders,SF,CLE
Danny Schayes,C,DEN
Russ Schoene,PF,SEA
Detlef Schrempf,PF,TOT
Byron Scott,SG,LAL
Rony Seikaly,C,MIA
Brad Sellers,PF,CHI
Charles Shackleford,C,NJN
John Shasky,C,MIA
Brian Shaw,SG,BOS
Purvis Short,SF,HOU
Jerry Sichting,PG,POR
Jack Sikma,C,MIL
Scott Skiles,PG,IND
Keith Smart,PG,SAS
Charles Smith,PF,LAC
Derek Smith,SG,TOT
Kenny Smith,PG,SAC
Larry Smith,PF,GSW
Otis Smith,SG,GSW
Rik Smits,C,IND
Mike Smrek,PF,SAS
Rory Sparrow,PG,MIA
John Starks,SG,GSW
Everette Stephens,PG,IND
Brook Steppe,PG,POR
John Stockton,PG,UTA
Rod Strickland,PG,NYK
John Stroeder,PF,TOT
Barry Sumpter,PF,LAC
Jon Sundvold,SG,MIA
Roy Tarpley,PF,DAL
Anthony Taylor,PG,MIA
Terry Teagle,SF,GSW
Reggie Theus,SG,ATL
Isiah Thomas,PG,DET
Bernard Thompson,PF,HOU
Billy Thompson,SF,MIA
LaSalle Thompson,C,TOT
Mychal Thompson,C,LAL
Bob Thornton,PF,PHI
Otis Thorpe,PF,HOU
Sedale Threatt,PG,SEA
Wayman Tisdale,PF,TOT
Ray Tolbert,PF,ATL
Tom Tolbert,SF,CHH
Sedric Toney,PG,IND
Kelly Tripucka,SF,CHH
Trent Tucker,SG,NYK
Andre Turner,PG,MIL
Elston Turner,SF,DEN
Terry Tyler,SF,DAL
Kelvin Upshaw,SG,TOT
Darnell Valentine,SG,CLE
Kiki Vandeweghe,PF,TOT
Jay Vincent,SF,TOT
Sam Vincent,PG,CHI
Darrell Walker,PG,WSB
Kenny Walker,SF,NYK
Pearl Washington,PG,MIA
Spud Webb,PG,ATL
Chris Welp,C,PHI
Bill Wennington,C,DAL
Mark West,C,PHO
Ennis Whatley,PG,LAC
Clinton Wheeler,PG,TOT
Eric White,SF,TOT
Jerome Whitehead,C,TOT
Morlon Wiley,PG,DAL
Dominique Wilkins,SF,ATL
Eddie Lee Wilkins,C,NYK
Gerald Wilkins,SG,NYK
Buck Williams,PF,NJN
Herb Williams,C,TOT
Hot Rod Williams,PF,CLE
John Williams,SF,WSB
Kevin Williams,SG,TOT
Micheal Williams,PG,DET
Reggie Williams,SF,LAC
David Wingate,SG,PHI
Randy Wittman,SF,TOT
Joe Wolf,C,LAC
David Wood,PF,CHI
Mike Woodson,SG,HOU
Orlando Woolridge,SF,LAL
James Worthy,SF,LAL
Danny Young,PG,POR
Mark Acres,C,ORL
Michael Adams,PG,DEN
Mark Aguirre,SF,DET
Danny Ainge,PG,SAC
Mark Alarie,PF,WSB
Steve Alford,PG,DAL
Randy Allen,SG,SAC
Greg Anderson,PF,MIL
Nick Anderson,SG,ORL
Richard Anderson,PF,CHH
Ron Anderson,SF,PHI
Willie Anderson,SG,SAS
Michael Ansley,SF,ORL
B.J. Armstrong,PG,CHI
John Bagley,PG,BOS
Thurl Bailey,SF,UTA
Ken Bannister,PF,LAC
Charles Barkley,SF,PHI
Dana Barros,PG,SEA
John Battle,SG,ATL
Kenny Battle,SG,PHO
William Bedford,C,DET
Benoit Benjamin,C,LAC
Winston Bennett,SF,CLE
Larry Bird,SF,BOS
Uwe Blab,C,TOT
Rolando Blackman,SG,DAL
Mookie Blaylock,PG,NJN
Muggsy Bogues,PG,CHH
Manute Bol,C,GSW
Anthony Bowie,SG,HOU
Sam Bowie,C,NJN
Adrian Branch,SF,MIN
Randy Breuer,C,TOT
Frank Brickowski,C,SAS
Scott Brooks,PG,PHI
Chucky Brown,SF,CLE
Mike Brown,C,UTA
Raymond Brown,PF,UTA
Tony Brown,SF,MIL
Stanley Brundy,SF,NJN
Mark Bryant,PF,POR
Torgeir Bryn,C,LAC
Steve Bucknall,SG,LAL
Greg Butler,C,NYK
Michael Cage,C,SEA
Adrian Caldwell,PF,HOU
Tony Campbell,SG,MIN
Rick Carlisle,SG,NJN
Antoine Carr,PF,TOT
Joe Barry Carroll,C,TOT
Bill Cartwright,C,CHI
Terry Catledge,PF,ORL
Tom Chambers,PF,PHO
Rex Chapman,SG,CHH
Maurice Cheeks,PG,TOT
Derrick Chievous,SF,TOT
Ben Coleman,PF,MIL
Steve Colter,PG,WSB
Lester Conner,PG,NJN
Michael Cooper,SG,LAL
Wayne Cooper,C,POR
Lanard Copeland,SG,PHI
Tyrone Corbin,SF,MIN
Dave Corzine,C,ORL
Pat Cummings,C,MIA
Terry Cummings,PF,SAS
Dell Curry,SG,CHH
Quintin Dailey,SG,SEA
Adrian Dantley,SF,DAL
Brad Daugherty,C,CLE
Brad Davis,PG,DAL
Charles Davis,SF,CHI
Terry Davis,PF,MIA
Walter Davis,SG,DEN
Johnny Dawkins,PG,PHI
Vinny Del Negro,SG,SAC
Byron Dinkins,PG,HOU
Vlade Divac,C,LAL
James Donaldson,C,DAL
Sherman Douglas,PG,MIA
Terry Dozier,SF,CHH
Greg Dreiling,C,IND
Larry Drew,PG,LAL
Clyde Drexler,SG,POR
Kevin Duckworth,C,POR
Chris Dudley,PF,TOT
Joe Dumars,SG,DET
Mike Dunleavy,PG,MIL
T.R. Dunn,SF,DEN
Ledell Eackles,SG,WSB
Mark Eaton,C,UTA
Blue Edwards,SF,UTA
James Edwards,C,DET
Jay Edwards,SG,LAC
Kevin Edwards,SG,MIA
Craig Ehlo,SG,CLE
Sean Elliott,SF,SAS
Dale Ellis,SG,SEA
Pervis Ellison,C,SAC
Alex English,SF,DEN
Patrick Ewing,C,NYK
Jim Farmer,SG,SEA
Duane Ferrell,SF,ATL
Vern Fleming,PG,IND
Sleepy Floyd,PG,HOU
Tellis Frank,PF,MIA
Corey Gaines,SG,PHI
Kevin Gamble,SF,BOS
Winston Garland,PG,TOT
Tom Garrick,SG,LAC
Kenny Gattison,PF,CHH
Derrick Gervin,PF,NJN
Armen Gilliam,PF,TOT
Mike Gminski,C,PHI
Gary Grant,PG,LAC
Greg Grant,PG,PHO
Harvey Grant,PF,WSB
Horace Grant,PF,CHI
Stuart Gray,C,TOT
Jeff Grayer,SF,MIL
A.C. Green,PF,LAL
Rickey Green,PG,IND
Sidney Green,C,ORL
Dave Greenwood,PF,DET
Darrell Griffith,SG,UTA
Scott Haffner,PG,MIA
Jack Haley,PF,TOT
Tom Hammonds,PF,WSB
Bob Hansen,SG,UTA
Bill Hanzlik,PF,DEN
Tim Hardaway,PG,GSW
Derek Harper,PG,DAL
Ron Harper,SG,TOT
Steve Harris,SG,LAC
Scott Hastings,PF,DET
Hersey Hawkins,SG,PHI
Gerald Henderson,PG,TOT
Mike Higgins,SF,TOT
Rod Higgins,PF,GSW
Roy Hinson,PF,NJN
Craig Hodges,SG,CHI
Michael Holton,PG,CHH
Dave Hoppen,C,CHH
Dennis Hopson,SG,NJN
Tito Horford,C,MIL
Jeff Hornacek,SG,PHO
Ed Horton,PF,WSB
Eddie Hughes,PG,DEN
Jay Humphries,PG,MIL
Byron Irvin,SG,POR
Jaren Jackson,SG,NJN
Mark Jackson,PG,NYK
Michael Jackson,PG,SAC
Avery Johnson,PG,SEA
Buck Johnson,SF,HOU
Dennis Johnson,PG,BOS
Eddie Johnson,SF,PHO
Eric Johnson,PG,UTA
Kevin Johnson,PG,PHO
Magic Johnson,PG,LAL
Marques Johnson,SF,GSW
Steve Johnson,C,TOT
Vinnie Johnson,SG,DET
Nate Johnston,PF-SF,TOT
Anthony Jones,SG,DAL
Caldwell Jones,PF,SAS
Charles Jones,C,WSB
Michael Jordan,SG,CHI
Shawn Kemp,PF,SEA
Tim Kempton,PF,DEN
Steve Kerr,PG,CLE
Jerome Kersey,SF,POR
Randolph Keys,SF,TOT
Stan Kimbrough,PG,DET
Bernard King,SF,WSB
Stacey King,PF,CHI
Greg Kite,C,SAC
Joe Kleine,C,BOS
Jon Koncak,C,ATL
Frank Kornet,PF,MIL
Larry Krystkowiak,PF,MIL
Bill Laimbeer,C,DET
Jerome Lane,PF,DEN
Andrew Lang,C,PHO
Jeff Lebo,SG,SAS
Eric Leckner,C,UTA
Tim Legler,SG,PHO
Gary Leonard,C,MIN
Jim Les,PG,TOT
Clifford Lett,PG,CHI
Fat Lever,SG,DEN
Cliff Levingston,PF,ATL
Ralph Lewis,SG-SF,TOT
Reggie Lewis,SG,BOS
Todd Lichti,SG,DEN
Alton Lister,C,GSW
Lewis Lloyd,SG,TOT
Brad Lohaus,PF,TOT
Grant Long,PF,MIA
John Long,SG,ATL
Sidney Lowe,PG,MIN
John Lucas,PG,HOU
Rick Mahorn,PF,PHI
Dan Majerle,SG,PHO
Jeff Malone,SG,WSB
Karl Malone,PF,UTA
Moses Malone,C,ATL
Danny Manning,PF,LAC
Roy Marble,SG,ATL
Šarūnas Marčiulionis,SG,GSW
Jeff Martin,SG,LAC
Anthony Mason,PF,NJN
Wes Matthews,PG,ATL
Vernon Maxwell,SG,TOT
Bob McCann,SF,DAL
Mel McCants,SF,LAL
George McCloud,SF,IND
Tim McCormick,C,HOU
Rodney McCray,SF,SAC
Xavier McDaniel,SF,SEA
Mike McGee,SF,PHO
Kevin McHale,PF,BOS
Derrick McKey,SF,SEA
Carlton McKinney,SG,LAC
Nate McMillan,SG,SEA
Mark McNamara,C,LAL
Scott Meents,PF,SEA
Reggie Miller,SG,IND
Sam Mitchell,PF,MIN
Paul Mokeski,C,CLE
Johnny Moore,PG,SAS
Chris Morris,SF,NJN
Mike Morrison,SG,PHO
John Morton,SG,CLE
Chris Mullin,SF,GSW
Tod Murphy,C,MIN
Pete Myers,SG,TOT
Larry Nance,PF,CLE
Calvin Natt,SF,IND
Ed Nealy,PF,CHI
Chuck Nevitt,C,HOU
Johnny Newman,SF,NYK
Kurt Nimphius,C,PHI
Dyron Nix,SF,IND
Ken Norman,SF,LAC
Charles Oakley,PF,NYK
Hakeem Olajuwon,C,HOU
Jawann Oldham,C,TOT
José Ortiz,PF,UTA
Robert Parish,C,BOS
Žarko Paspalj,SF,SAS
Jim Paxson,PG,BOS
John Paxson,PG,CHI
Kenny Payne,SF,PHI
Will Perdue,C,CHI
Sam Perkins,SF,DAL
Tim Perry,C,PHO
Chuck Person,SF,IND
Jim Petersen,C,GSW
Dražen Petrović,SG,POR
Ricky Pierce,SG,MIL
Ed Pinckney,PF,BOS
Scottie Pippen,SF,CHI
Olden Polynice,C,SEA
Terry Porter,PG,POR
Paul Pressey,SG,MIL
Harold Pressley,SF,SAC
Mark Price,PG,CLE
Brian Quinnett,SG,NYK
Kurt Rambis,PF,TOT
Blair Rasmussen,C,DEN
J.R. Reid,C,CHH
Robert Reid,SF,TOT
Jerry Reynolds,SF,ORL
Glen Rice,SF,MIA
Pooh Richardson,PG,MIN
Mitch Richmond,SG,GSW
David Rivers,PG,LAC
Doc Rivers,PG,ATL
Fred Roberts,PF,MIL
Alvin Robertson,SG,MIL
Clifford Robinson,PF,POR
David Robinson,C,SAS
Dennis Rodman,SF,DET
Tree Rollins,C,CLE
Doug Roth,C,WSB
Scott Roth,SF,MIN
Jim Rowinski,PF,MIA
Brian Rowsom,PF,CHH
Donald Royal,SF,MIN
Delaney Rudd,PG,UTA
John Salley,PF,DET
Ralph Sampson,C,SAC
Jeff Sanders,PF,CHI
Mike Sanders,SF,IND
Danny Schayes,C,DEN
Detlef Schrempf,PF,IND
Byron Scott,SG,LAL
Rony Seikaly,C,MIA
Brad Sellers,PF,TOT
Charles Shackleford,C,NJN
John Shasky,C,GSW
Purvis Short,SF,NJN
Dexter Shouse,PG,PHI
Jerry Sichting,PG,TOT
Jack Sikma,C,MIL
Scott Skiles,PG,ORL
Charles Smith,PF,LAC
Charles Smith,PG,BOS
Derek Smith,SF,PHI
Kenny Smith,PG,TOT
Larry Smith,PF,HOU
Michael Smith,PF,BOS
Otis Smith,SF,ORL
Rik Smits,C,IND
Mike Smrek,C,GSW
Rory Sparrow,PG,MIA
John Stockton,PG,UTA
Greg Stokes,PF,SAC
Rod Strickland,PG,TOT
Jon Sundvold,SG,MIA
Roy Tarpley,PF,DAL
Jay Taylor,SG,NJN
Leonard Taylor,PF,GSW
Terry Teagle,SF,GSW
Reggie Theus,SG,ORL
Isiah Thomas,PG,DET
Billy Thompson,SF,MIA
LaSalle Thompson,C,IND
Mychal Thompson,C,LAL
Bob Thornton,PF,PHI
Otis Thorpe,PF,HOU
Sedale Threatt,PG,SEA
Wayman Tisdale,PF,SAC
Tom Tolbert,PF,GSW
Sedric Toney,PG,TOT
Kelly Tripucka,SF,CHH
Trent Tucker,SG,NYK
Andre Turner,PG,TOT
Henry Turner,PF,SAC
Jeff Turner,PF,ORL
Melvin Turpin,C,WSB
Kelvin Upshaw,SG,TOT
Kiki Vandeweghe,SF,NYK
Jay Vincent,SF,TOT
Sam Vincent,PG,ORL
Gary Voce,PF,CLE
Alexander Volkov,C,ATL
Mark Wade,PG,DAL
Darrell Walker,PG,WSB
Kenny Walker,PF,NYK
Spud Webb,PG,ATL
Chris Welp,C,TOT
Bill Wennington,C,DAL
Doug West,SG,MIN
Mark West,C,PHO
Randy White,PF,DAL
Mitchell Wiggins,SG,HOU
Morlon Wiley,PG,ORL
Dominique Wilkins,SF,ATL
Eddie Lee Wilkins,C,NYK
Gerald Wilkins,SG,NYK
Buck Williams,PF,POR
Herb Williams,C,DAL
Hot Rod Williams,PF,CLE
John Williams,SF,WSB
Micheal Williams,PG,TOT
Mike Williams,PF-SF,TOT
Reggie Williams,SF,TOT
Kevin Willis,PF,ATL
David Wingate,SG,SAS
Randy Wittman,SF,IND
Joe Wolf,C,LAC
Leon Wood,SG,NJN
Mike Woodson,SG,HOU
Orlando Woolridge,SF,LAL
Haywoode Workman,PG,ATL
James Worthy,SF,LAL
Danny Young,PG,POR
Michael Young,SF,LAC
Alaa Abdelnaby,PF,POR
Mahmoud Abdul-Rauf,PG,DEN
Mark Acres,C,ORL
Michael Adams,PG,DEN
Mark Aguirre,SF,DET
Danny Ainge,SG,POR
Mark Alarie,PF,WSB
Steve Alford,PG,DAL
Greg Anderson,PF,TOT
Nick Anderson,SG,ORL
Ron Anderson,SF,PHI
Willie Anderson,SG,SAS
Michael Ansley,SF,ORL
B.J. Armstrong,PG,CHI
Vincent Askew,SG,GSW
Keith Askins,SF,MIA
Miloš Babić,PF,CLE
Thurl Bailey,PF,UTA
Cedric Ball,PF,LAC
Ken Bannister,PF,LAC
Charles Barkley,SF,PHI
Dana Barros,PG,SEA
John Battle,SG,ATL
Kenny Battle,SG,TOT
William Bedford,C,DET
Benoit Benjamin,C,TOT
Winston Bennett,SF,CLE
Larry Bird,SF,BOS
Rolando Blackman,SG,DAL
Lance Blanks,SG,DET
Mookie Blaylock,PG,NJN
Muggsy Bogues,PG,CHH
Manute Bol,C,PHI
Anthony Bonner,PF,SAC
Sam Bowie,C,NJN
Randy Breuer,C,MIN
Frank Brickowski,PF,MIL
Scott Brooks,PG,MIN
Chucky Brown,SF,CLE
Dee Brown,PG,BOS
Mike Brown,C,UTA
Tony Brown,SG-SF,TOT
Mark Bryant,PF,POR
Jud Buechler,SF,NJN
Matt Bullard,PF,HOU
Willie Burton,SF,MIA
Greg Butler,C,LAC
Michael Cage,C,SEA
Adrian Caldwell,PF,HOU
Rick Calloway,SG,SAC
Elden Campbell,PF,LAL
Tony Campbell,SG,MIN
Antoine Carr,PF,SAC
Joe Barry Carroll,C,PHO
Bill Cartwright,C,CHI
Terry Catledge,PF,ORL
Duane Causwell,C,SAC
Cedric Ceballos,SF,PHO
Tom Chambers,PF,PHO
Rex Chapman,PG,CHH
Maurice Cheeks,PG,NYK
Derrick Chievous,SF,CLE
Richard Coffey,SF,MIN
Derrick Coleman,PF,NJN
Bimbo Coles,PG,MIA
Steve Colter,PG,SAC
Lester Conner,PG,TOT
Anthony Cook,PF,DEN
Wayne Cooper,C,POR
Tyrone Corbin,SF,MIN
Dave Corzine,C,SEA
Pat Cummings,PF,UTA
Terry Cummings,PF,SAS
Earl Cureton,PF,CHH
Dell Curry,SG,CHH
Quintin Dailey,SG,SEA
Adrian Dantley,SF,MIL
Brad Daugherty,C,CLE
Brad Davis,PG,DAL
Terry Davis,PF,MIA
Walter Davis,SG,TOT
Johnny Dawkins,PG,PHI
Tony Dawson,SF,SAC
Byron Dinkins,PG,TOT
Vlade Divac,C,LAL
James Donaldson,C,DAL
Sherman Douglas,PG,MIA
Greg Dreiling,C,IND
Larry Drew,PG,LAL
Clyde Drexler,SG,POR
Kevin Duckworth,C,POR
Chris Dudley,C,NJN
Joe Dumars,SG,DET
T.R. Dunn,SG,DEN
Ledell Eackles,SG,WSB
Mark Eaton,C,UTA
Blue Edwards,SF,UTA
James Edwards,C,DET
Kevin Edwards,SG,MIA
Craig Ehlo,SG,CLE
Mario Elie,SF-SG,TOT
Sean Elliott,SF,SAS
Dale Ellis,SG,TOT
Pervis Ellison,C,WSB
A.J. English,SG,WSB
Alex English,SF,DAL
Patrick Ewing,C,NYK
Jim Farmer,SG,TOT
Dave Feitl,C,HOU
Duane Ferrell,SF,ATL
Danny Ferry,PF,CLE
Vern Fleming,PG,IND
Sleepy Floyd,PG,HOU
Greg Foster,PF,WSB
Anthony Frederick,SF,SAC
Corey Gaines,SG,DEN
Kevin Gamble,SF,BOS
Winston Garland,PG,LAC
Tom Garrick,SG,LAC
Kenny Gattison,PF,CHH
Tate George,PG,NJN
Derrick Gervin,PF,NJN
Kendall Gill,SG,CHH
Armen Gilliam,PF,TOT
Gerald Glass,SF,MIN
Mike Gminski,C,TOT
Dan Godfread,C,MIN
Jim Grandholm,PF,DAL
Gary Grant,PG,LAC
Greg Grant,PG,NYK
Harvey Grant,PF,WSB
Horace Grant,PF,CHI
Stuart Gray,C,NYK
Jeff Grayer,SG,MIL
A.C. Green,PF,LAL
Rickey Green,PG,PHI
Sidney Green,PF,SAS
Dave Greenwood,PF,SAS
Darrell Griffith,SG,UTA
Scott Haffner,PG,CHH
Jack Haley,PF,NJN
Tom Hammonds,PF,WSB
Bob Hansen,SG,SAC
Tim Hardaway,PG,GSW
Derek Harper,PG,DAL
Ron Harper,SG,LAC
Tony Harris,SG,PHI
Scott Hastings,PF,DET
Hersey Hawkins,SG,PHI
Gerald Henderson,PG,DET
Steve Henson,PG,MIL
Mike Higgins,SF,SAC
Rod Higgins,SF,GSW
Sean Higgins,SF,SAS
Tyrone Hill,PF,GSW
Roy Hinson,PF,NJN
Craig Hodges,SG,CHI
Dave Hoppen,C,TOT
Dennis Hopson,SF,CHI
Jeff Hornacek,SG,PHO
Jay Humphries,PG,MIL
Byron Irvin,SG,WSB
Mark Jackson,PG,NYK
Dave Jamerson,SG,HOU
Henry James,PF,CLE
Les Jepsen,C,GSW
Avery Johnson,PG,TOT
Buck Johnson,SF,HOU
Eddie Johnson,SG,TOT
Kevin Johnson,PG,PHO
Magic Johnson,PG,LAL
Steve Johnson,C,GSW
Vinnie Johnson,SG,DET
Charles Jones,C,WSB
Michael Jordan,SG,CHI
Shawn Kemp,PF,SEA
Steve Kerr,PG,CLE
Jerome Kersey,SF,POR
Alec Kessler,C,MIA
Randolph Keys,SF,CHH
Bo Kimble,SG,LAC
Bernard King,SF,WSB
Stacey King,PF,CHI
Greg Kite,C,ORL
Joe Kleine,C,BOS
Negele Knight,PG,PHO
Bart Kofoed,SG,GSW
Jon Koncak,C,ATL
Frank Kornet,PF,MIL
Bill Laimbeer,C,DET
Jerome Lane,PF,DEN
Andrew Lang,C,PHO
Eric Leckner,C,TOT
Kurk Lee,PG,NJN
Tim Legler,SG,DEN
Gary Leonard,C,ATL
Jim Les,PG,SAC
Clifford Lett,PG,SAS
Fat Lever,SG,DAL
Cliff Levingston,PF,CHI
Reggie Lewis,SG,BOS
Marcus Liberty,SF,DEN
Todd Lichti,SG,DEN
Alton Lister,C,GSW
Ian Lockhart,SF,PHO
Brad Lohaus,PF,MIL
Grant Long,PF,MIA
John Long,SG,DET
Rick Mahorn,C,PHI
Dan Majerle,SF,PHO
Jeff Malone,SG,UTA
Karl Malone,PF,UTA
Moses Malone,C,ATL
Danny Manning,PF,LAC
Šarūnas Marčiulionis,SG,GSW
Jeff Martin,PG,LAC
Anthony Mason,PF,DEN
Tony Massenburg,PF,SAS
Vernon Maxwell,SG,HOU
Travis Mays,PG,SAC
George McCloud,SF,IND
Tim McCormick,C,ATL
Rodney McCray,PF,DAL
Xavier McDaniel,SF,TOT
Kevin McHale,PF,BOS
Derrick McKey,SF,SEA
Nate McMillan,SG,SEA
Mark McNamara,C,ORL
Scott Meents,PF,SEA
Reggie Miller,SG,IND
Terry Mills,PF,TOT
Sam Mitchell,PF,MIN
Paul Mokeski,C,GSW
Sidney Moncrief,SG,ATL
Chris Morris,SF,NJN
John Morton,SF,CLE
Chris Mullin,SF,GSW
Chris Munk,PF,UTA
Tod Murphy,PF,MIN
Jerrod Mustaf,PF,NYK
Pete Myers,SG,SAS
Larry Nance,PF,CLE
Craig Neal,PG,DEN
Ed Nealy,PF,PHO
Johnny Newman,SF,CHH
Ken Norman,SF,LAC
Dan O'Sullivan,C,UTA
Charles Oakley,PF,NYK
Alan Ogg,C,MIA
Hakeem Olajuwon,C,HOU
Jawann Oldham,C,IND
Brian Oliver,SG,PHI
Gerald Paddio,SF,CLE
Walter Palmer,C,UTA
Robert Parish,C,BOS
John Paxson,PG,CHI
Kenny Payne,SF,PHI
Gary Payton,PG,SEA
Will Perdue,C,CHI
Sam Perkins,PF,LAL
Tim Perry,C,PHO
Chuck Person,SF,IND
Jim Petersen,C,GSW
Dražen Petrović,SG,TOT
Ricky Pierce,SG,TOT
Ed Pinckney,PF,BOS
Scottie Pippen,SF,CHI
Olden Polynice,C,TOT
Dave Popson,PF,BOS
Terry Porter,PG,POR
Paul Pressey,SG,SAS
Mark Price,PG,CLE
Kevin Pritchard,PG,GSW
Brian Quinnett,SG,NYK
Kurt Rambis,PF,PHO
Blair Rasmussen,C,DEN
J.R. Reid,C,CHH
Robert Reid,SF,PHI
Jerry Reynolds,SG,ORL
Glen Rice,SF,MIA
Pooh Richardson,PG,MIN
Mitch Richmond,SG,GSW
Doc Rivers,PG,ATL
Fred Roberts,PF,MIL
Alvin Robertson,SG,MIL
Clifford Robinson,PF,POR
David Robinson,C,SAS
Larry Robinson,SG,TOT
Rumeal Robinson,PG,ATL
Dennis Rodman,SF,DET
Tree Rollins,C,DET
Delaney Rudd,PG,UTA
John Salley,PF,DET
Ralph Sampson,C,SAC
Jeff Sanders,PF,CHH
Mike Sanders,SF,IND
Danny Schayes,C,MIL
Steve Scheffler,C,CHH
Dwayne Schintzius,C,SAS
Detlef Schrempf,PF,IND
Byron Scott,SG,LAL
Dennis Scott,SG,ORL
Rony Seikaly,C,MIA
John Shasky,C,DAL
Brian Shaw,PG,BOS
Jack Sikma,C,MIL
Lionel Simmons,SF,SAC
Scott Skiles,PG,ORL
Charles Smith,SF,LAC
Charles Smith,PG,BOS
Clinton Smith,SG,WSB
Derek Smith,SF,BOS
Kenny Smith,PG,HOU
Larry Smith,PF,HOU
Michael Smith,PF,BOS
Otis Smith,SF,ORL
Tony Smith,SG,LAL
Rik Smits,C,IND
Mike Smrek,C,TOT
Rory Sparrow,PG,SAC
Felton Spencer,C,MIN
John Starks,SG,NYK
Everette Stephens,PG,MIL
John Stockton,PG,UTA
Rod Strickland,PG,SAS
Jon Sundvold,SG,MIA
Roy Tarpley,C,DAL
Terry Teagle,SG,LAL
Reggie Theus,SG,NJN
Irving Thomas,PF,LAL
Isiah Thomas,PG,DET
Jim Thomas,SG,MIN
Billy Thompson,SF,MIA
LaSalle Thompson,C,IND
Mychal Thompson,C,LAL
Bob Thornton,PF,MIN
Otis Thorpe,PF,HOU
Sedale Threatt,PG,SEA
Wayman Tisdale,PF,SAC
Tom Tolbert,PF,GSW
Andy Toolson,SF,UTA
Kelly Tripucka,SF,CHH
Trent Tucker,SG,NYK
Andre Turner,PG,PHI
Jeff Turner,PF,ORL
Kelvin Upshaw,SG,DAL
Darnell Valentine,PG,CLE
Kiki Vandeweghe,SF,NYK
Loy Vaught,PF,LAC
Sam Vincent,PG,ORL
Stojko Vranković,C,BOS
Milt Wagner,SG,MIA
Darrell Walker,PG,WSB
Kenny Walker,SF,NYK
Spud Webb,PG,ATL
Bill Wennington,C,SAC
Doug West,SG,MIN
Mark West,C,PHO
Randy White,PF,DAL
Morlon Wiley,PG,ORL
Dominique Wilkins,SF,ATL
Eddie Lee Wilkins,C,NYK
Gerald Wilkins,SG,NYK
Buck Williams,PF,POR
Herb Williams,C,DAL
Hot Rod Williams,C,CLE
Jayson Williams,PF,PHI
John Williams,SF,WSB
Kenny Williams,PF,IND
Micheal Williams,PG,IND
Reggie Williams,SF,TOT
Scott Williams,PF,CHI
Kevin Willis,PF,ATL
Trevor Wilson,PF,ATL
Kennard Winchester,SF,HOU
David Wingate,SG,SAS
Randy Wittman,SF,IND
Joe Wolf,C,DEN
David Wood,SF,HOU
Leon Wood,SG,SAC
Mike Woodson,SG,TOT
Orlando Woolridge,SF,DEN
Haywoode Workman,PG,WSB
James Worthy,SF,LAL
Howard Wright,PF,TOT
A.J. Wynder,PG,BOS
Danny Young,PG,POR
Alaa Abdelnaby,PF,POR
Mahmoud Abdul-Rauf,PG,DEN
Mark Acres,C,ORL
Michael Adams,PG,WSB
Rafael Addison,SF,NJN
Mark Aguirre,SF,DET
Danny Ainge,SG,POR
Victor Alexander,C,GSW
Greg Anderson,PF,DEN
Kenny Anderson,PG,NJN
Nick Anderson,SG,ORL
Ron Anderson,SF,PHI
Willie Anderson,SG,SAS
Michael Ansley,SF,TOT
Greg Anthony,PG,NYK
B.J. Armstrong,PG,CHI
Vincent Askew,SG,GSW
Keith Askins,SF,MIA
Stacey Augmon,SG,ATL
Isaac Austin,C,UTA
Miloš Babić,C,MIA
John Bagley,PG,BOS
Thurl Bailey,PF,TOT
Steve Bardo,SG,SAS
Charles Barkley,SF,PHI
Dana Barros,PG,SEA
John Battle,SG,CLE
Kenny Battle,SG,TOT
William Bedford,C,DET
Benoit Benjamin,C,SEA
Winston Bennett,SF,TOT
David Benoit,SF,UTA
Larry Bird,SF,BOS
Rolando Blackman,SG,DAL
Lance Blanks,SG,DET
Mookie Blaylock,PG,NJN
Muggsy Bogues,PG,CHH
Manute Bol,C,PHI
Anthony Bonner,PF,SAC
Anthony Bowie,SG,ORL
Sam Bowie,C,NJN
Terrell Brandon,PG,CLE
Randy Breuer,C,MIN
Frank Brickowski,SF,MIL
Kevin Brooks,SF,DEN
Scott Brooks,PG,MIN
Chucky Brown,SF,TOT
Dee Brown,PG,BOS
Mike Brown,C,UTA
